@relation datasetCleanedNumeric

@attribute Case_no numeric
@attribute checking_status numeric
@attribute credit_history {'critical/other existing credit','existing paid','delayed previously','no credits/all paid','all paid'}
@attribute purpose {radio/tv,education,furniture/equipment,'new car','used car',business,'domestic appliance',repairs,other,retraining}
@attribute credit_amount numeric
@attribute saving_status numeric
@attribute employment numeric
@attribute personal_status {'male single','female div/dep/mar','male div/sep','male mar/wid'}
@attribute age numeric
@attribute job numeric
@attribute class numeric

@data
382,1,'existing paid','used car',12976,1,0,'female div/dep/mar',38,3,0
383,0,'existing paid','new car',1283,0,3,'female div/dep/mar',25,2,1
384,2,'existing paid','new car',1330,1,1,'male single',26,2,1
385,0,'delayed previously',business,4272,2,2,'male single',26,1,1
386,0,'critical/other existing credit',radio/tv,2238,1,2,'female div/dep/mar',25,2,1
387,0,'existing paid',radio/tv,1126,0,1,'female div/dep/mar',21,2,1
388,1,'critical/other existing credit',furniture/equipment,7374,1,0,'male single',40,3,1
389,1,'critical/other existing credit',business,2326,3,2,'male single',27,2,1
390,0,'existing paid',business,1449,1,3,'female div/dep/mar',27,2,1
391,0,'existing paid','new car',1820,1,2,'male mar/wid',30,3,1
392,1,'existing paid',furniture/equipment,983,4,1,'female div/dep/mar',19,1,1
393,-1,'existing paid','new car',3249,1,3,'male single',39,3,1
394,-1,'critical/other existing credit',radio/tv,1957,1,3,'female div/dep/mar',31,2,1
395,0,'critical/other existing credit',furniture/equipment,2406,1,0,'male single',31,3,1
396,1,'delayed previously',education,11760,2,3,'male single',32,2,1
397,-1,'existing paid',furniture/equipment,2578,1,0,'female div/dep/mar',55,3,1
398,-1,'critical/other existing credit',furniture/equipment,2348,1,2,'male mar/wid',46,2,1
399,1,'existing paid','new car',1223,1,4,'male div/sep',46,2,0
400,0,'critical/other existing credit',radio/tv,1516,4,2,'female div/dep/mar',43,1,1
401,0,'existing paid',radio/tv,1473,1,1,'male mar/wid',39,2,1
402,1,'critical/other existing credit',business,1887,0,2,'male mar/wid',28,2,1
403,0,'delayed previously',business,8648,1,1,'male single',27,2,0
404,0,'delayed previously','new car',802,1,2,'male single',27,1,1
405,1,'delayed previously','new car',2899,0,4,'male single',43,2,1
406,1,'existing paid',radio/tv,2039,1,1,'male mar/wid',22,2,0
407,0,'critical/other existing credit','used car',2197,0,3,'male single',43,2,1
408,-1,'existing paid',radio/tv,1053,1,1,'male mar/wid',27,2,1
409,0,'existing paid',radio/tv,3235,3,4,'male div/sep',26,3,1
410,2,'critical/other existing credit','new car',939,3,3,'male mar/wid',28,2,0
411,1,'existing paid',radio/tv,1967,1,4,'female div/dep/mar',20,2,1
412,0,'critical/other existing credit','used car',7253,1,3,'male single',35,3,1
413,0,'critical/other existing credit',business,2292,1,0,'male single',42,3,0
414,0,'existing paid','new car',1597,3,2,'male single',40,1,1
415,-1,'existing paid','new car',1381,0,2,'female div/dep/mar',35,2,0
416,0,'critical/other existing credit','used car',5842,1,4,'male single',35,2,1
417,-1,'existing paid','new car',2579,1,1,'male single',33,1,0
418,-1,'delayed previously',education,8471,0,2,'female div/dep/mar',23,2,1
419,0,'existing paid','new car',2782,3,3,'female div/dep/mar',31,3,1
420,1,'existing paid','new car',1042,0,2,'female div/dep/mar',33,2,0
421,0,'existing paid','new car',3186,4,3,'female div/dep/mar',20,2,1
422,1,'existing paid','used car',2028,0,2,'male single',30,2,1
423,1,'critical/other existing credit','new car',958,1,3,'male single',47,1,1
424,0,'delayed previously',furniture/equipment,1591,2,3,'male single',34,3,1
425,1,'existing paid',furniture/equipment,2762,0,4,'female div/dep/mar',25,2,0
426,1,'existing paid','used car',2779,1,2,'male mar/wid',21,2,1
427,0,'critical/other existing credit',radio/tv,2743,1,4,'male single',29,2,1
428,0,'critical/other existing credit',radio/tv,1149,4,2,'male single',46,2,1
429,0,'existing paid',furniture/equipment,1313,1,4,'male single',20,2,1
430,-1,'critical/other existing credit',repairs,1190,1,0,'female div/dep/mar',55,0,0
431,0,'existing paid',business,3448,1,3,'male single',74,1,1
433,-1,'critical/other existing credit',furniture/equipment,1872,1,0,'male single',36,3,1
434,0,'critical/other existing credit',repairs,2058,1,2,'male div/sep',33,2,1
435,-1,'existing paid',furniture/equipment,2136,1,2,'male single',25,2,1
436,1,'existing paid',radio/tv,1484,0,2,'male mar/wid',25,2,0
437,0,'existing paid',repairs,660,3,3,'male mar/wid',23,1,1
438,0,'critical/other existing credit','new car',1287,4,4,'female div/dep/mar',37,2,1
439,-1,'critical/other existing credit',repairs,3394,1,0,'male single',65,0,1
440,2,'all paid',business,609,1,1,'female div/dep/mar',26,0,0
441,0,'existing paid','new car',1884,1,4,'male single',39,3,1
442,-1,'existing paid',furniture/equipment,1620,1,2,'female div/dep/mar',30,2,1
443,1,'delayed previously',other,2629,1,2,'male single',29,2,1
445,1,'critical/other existing credit',furniture/equipment,5096,1,2,'female div/dep/mar',30,3,0
446,0,'critical/other existing credit',education,1244,0,4,'female div/dep/mar',41,1,1
447,-1,'existing paid','new car',1842,1,1,'female div/dep/mar',34,2,0
448,1,'existing paid',radio/tv,2576,1,2,'male single',35,2,1
449,2,'existing paid',furniture/equipment,1424,0,4,'female div/dep/mar',55,3,1
450,1,'delayed previously',repairs,1512,4,2,'male mar/wid',61,2,0
451,0,'critical/other existing credit','used car',11054,0,2,'male single',30,3,1
453,0,'no credits/all paid',furniture/equipment,2759,1,4,'male single',34,2,1
454,0,'existing paid','used car',2670,1,4,'male single',35,3,1
455,-1,'existing paid','new car',4817,1,3,'male single',31,2,0
456,0,'existing paid','used car',2679,1,1,'female div/dep/mar',29,3,1
457,-1,'critical/other existing credit','new car',3905,1,2,'male single',36,2,1
458,-1,'existing paid','used car',3386,1,4,'male single',35,2,0
459,-1,'existing paid','domestic appliance',343,1,1,'female div/dep/mar',27,2,1
460,0,'existing paid',radio/tv,4594,1,1,'male single',32,2,1
461,-1,'existing paid',furniture/equipment,3620,1,2,'male single',37,2,1
462,-1,'existing paid','new car',1721,1,1,'male single',36,2,1
463,1,'existing paid',furniture/equipment,3017,1,1,'female div/dep/mar',34,3,1
464,1,'existing paid',retraining,754,0,4,'male single',38,2,1
465,0,'existing paid',business,1950,1,3,'male single',34,2,1
466,-1,'existing paid','used car',2924,1,2,'male single',63,2,1
467,-1,'delayed previously',radio/tv,1659,1,1,'female div/dep/mar',29,1,0
468,0,'delayed previously',radio/tv,7238,0,4,'male single',32,2,1
469,0,'delayed previously',business,2764,1,2,'female div/dep/mar',26,2,1
470,0,'delayed previously','used car',4679,1,3,'male single',35,1,1
471,1,'existing paid',radio/tv,3092,2,1,'male mar/wid',22,2,0
472,-1,'existing paid',education,448,1,1,'female div/dep/mar',23,2,0
473,-1,'existing paid','new car',654,1,2,'male single',28,1,0
474,0,'existing paid',retraining,1238,0,0,'male single',36,3,1
475,1,'critical/other existing credit',radio/tv,1245,1,2,'male mar/wid',33,2,0
476,-1,'no credits/all paid',furniture/equipment,3114,1,1,'female div/dep/mar',26,2,0
477,0,'existing paid','used car',2569,3,2,'male single',24,2,1
478,2,'existing paid',radio/tv,5152,1,3,'male single',25,2,1
479,1,'existing paid',business,1037,2,3,'male single',39,1,1
480,-1,'critical/other existing credit',furniture/equipment,1478,1,4,'male single',44,2,1
481,1,'critical/other existing credit',radio/tv,3573,1,2,'female div/dep/mar',23,1,1
482,1,'existing paid','new car',1201,1,1,'male single',26,2,1
483,-1,'existing paid',furniture/equipment,3622,4,4,'female div/dep/mar',57,2,1
484,0,'delayed previously',furniture/equipment,960,4,3,'female div/dep/mar',30,2,1
485,0,'critical/other existing credit','new car',1163,3,2,'male single',44,2,1
486,1,'delayed previously','new car',1209,1,0,'male single',47,3,0
487,0,'existing paid',radio/tv,3077,1,2,'male single',52,2,1
488,0,'existing paid','new car',3757,1,4,'female div/dep/mar',62,2,1
489,0,'existing paid','new car',1418,2,2,'male single',35,1,1
490,0,'existing paid','new car',3518,1,2,'male single',26,2,1
491,0,'critical/other existing credit',radio/tv,1934,1,4,'male single',26,2,1
492,1,'no credits/all paid',business,8318,1,4,'female div/dep/mar',42,3,0
493,0,'critical/other existing credit',radio/tv,1237,2,2,'female div/dep/mar',27,2,1
494,1,'existing paid',radio/tv,368,0,4,'male single',38,2,1
495,-1,'critical/other existing credit','new car',2122,1,2,'male single',39,1,1
496,-1,'existing paid',furniture/equipment,2996,0,2,'male mar/wid',20,2,0
497,1,'existing paid',furniture/equipment,9034,2,1,'male single',29,3,0
498,0,'critical/other existing credit',furniture/equipment,1585,1,3,'male single',40,2,1
499,1,'existing paid',radio/tv,1301,1,4,'male mar/wid',32,1,1
500,2,'critical/other existing credit','new car',1323,2,4,'male div/sep',28,2,1
501,-1,'existing paid','new car',3123,1,1,'female div/dep/mar',27,2,0
502,-1,'existing paid','used car',5493,1,4,'male single',42,2,1
503,2,'existing paid',radio/tv,1126,2,4,'male div/sep',49,2,1
504,1,'critical/other existing credit',radio/tv,1216,2,1,'male single',38,2,0
505,-1,'existing paid','new car',1207,1,1,'female div/dep/mar',24,2,0
506,0,'existing paid','new car',1309,0,2,'male single',27,1,0
507,2,'critical/other existing credit','used car',2360,3,2,'male single',36,2,1
508,1,'all paid','new car',6850,2,0,'male single',34,3,0
509,0,'existing paid',radio/tv,1413,1,2,'male mar/wid',28,2,1
510,0,'existing paid','used car',8588,2,4,'male single',45,3,1
511,-1,'existing paid','new car',759,1,3,'male single',26,2,0
512,0,'existing paid','used car',4686,1,2,'male single',32,3,1
513,2,'existing paid',business,2687,1,3,'male single',26,2,1
515,0,'existing paid','new car',2255,0,1,'male single',54,2,1
516,-1,'critical/other existing credit','new car',609,1,3,'female div/dep/mar',37,2,1
517,-1,'critical/other existing credit','new car',1361,1,1,'male single',40,1,1
518,0,'critical/other existing credit',furniture/equipment,7127,1,1,'female div/dep/mar',23,2,0
519,-1,'existing paid','new car',1203,2,4,'male single',43,2,1
520,0,'critical/other existing credit',radio/tv,700,0,4,'male single',36,2,1
521,0,'critical/other existing credit',repairs,5507,1,4,'male single',44,2,1
522,-1,'existing paid',radio/tv,3190,1,2,'female div/dep/mar',24,2,0
523,-1,'no credits/all paid',furniture/equipment,7119,1,2,'male single',53,2,0
524,0,'existing paid','used car',3488,2,3,'female div/dep/mar',23,2,1
525,1,'existing paid',radio/tv,1113,1,2,'female div/dep/mar',26,1,1
526,1,'existing paid','used car',7966,1,1,'male single',30,2,1
527,0,'critical/other existing credit',education,1532,2,2,'female div/dep/mar',31,2,1
528,0,'critical/other existing credit',radio/tv,1503,1,3,'male single',42,1,1
529,-1,'existing paid',radio/tv,2302,1,2,'male div/sep',31,2,0
530,-1,'existing paid','new car',662,1,1,'male single',41,1,1
531,1,'existing paid',education,2273,1,3,'male single',32,2,1
532,1,'existing paid','new car',2631,2,2,'female div/dep/mar',28,2,0
533,0,'delayed previously','used car',1503,1,2,'male mar/wid',41,2,1
534,0,'existing paid',radio/tv,1311,2,3,'male mar/wid',26,2,1
535,0,'existing paid',radio/tv,3105,0,1,'male single',25,2,1
536,2,'critical/other existing credit',education,2319,1,1,'male div/sep',33,2,0
537,-1,'existing paid','new car',1374,0,0,'female div/dep/mar',75,3,1
538,1,'critical/other existing credit',furniture/equipment,3612,1,4,'female div/dep/mar',37,2,1
539,-1,'existing paid','new car',7763,1,4,'male single',42,3,0
540,2,'existing paid',furniture/equipment,3049,1,1,'female div/dep/mar',45,1,1
541,1,'existing paid',radio/tv,1534,1,1,'male mar/wid',23,2,0
542,0,'delayed previously','new car',2032,1,4,'male single',60,2,1
543,-1,'existing paid',furniture/equipment,6350,0,4,'male single',31,2,0
544,2,'existing paid',furniture/equipment,2864,1,2,'male single',34,1,0
545,0,'critical/other existing credit','new car',1255,1,4,'male single',61,1,1
546,-1,'delayed previously','new car',1333,1,0,'male single',43,2,0
547,0,'critical/other existing credit','new car',2022,1,2,'female div/dep/mar',37,2,1
548,0,'existing paid',radio/tv,1552,1,3,'male single',32,2,1
549,-1,'all paid',radio/tv,626,1,2,'female div/dep/mar',24,1,0
550,0,'critical/other existing credit','used car',8858,0,3,'male single',35,2,1
551,0,'critical/other existing credit',repairs,996,0,3,'female div/dep/mar',23,2,1
552,0,'all paid',radio/tv,1750,3,4,'male single',45,1,1
553,-1,'existing paid',radio/tv,6999,1,3,'male mar/wid',34,2,0
554,1,'critical/other existing credit','new car',1995,2,1,'male single',27,2,1
555,1,'existing paid',education,1199,1,3,'female div/dep/mar',67,3,1
556,1,'existing paid',radio/tv,1331,1,1,'male single',22,2,0
557,1,'no credits/all paid','new car',2278,2,1,'female div/dep/mar',28,2,0
558,0,'no credits/all paid','new car',5003,0,2,'female div/dep/mar',29,2,0
559,-1,'all paid',furniture/equipment,3552,1,3,'male single',27,2,0
561,-1,'existing paid','used car',2964,0,4,'male single',49,2,1
562,-1,'all paid',radio/tv,1546,1,3,'male single',24,1,0
563,2,'delayed previously',radio/tv,683,1,1,'female div/dep/mar',29,2,1
564,1,'existing paid','new car',12389,0,2,'male single',37,2,0
565,1,'delayed previously',business,4712,0,2,'male single',37,3,1
566,1,'delayed previously',radio/tv,1553,2,3,'female div/dep/mar',23,2,1
567,-1,'existing paid','new car',1372,1,3,'male div/sep',36,2,0
568,0,'critical/other existing credit',radio/tv,2578,4,4,'male single',34,2,1
569,1,'existing paid',radio/tv,3979,0,3,'male single',41,2,1
570,-1,'existing paid',radio/tv,6758,1,2,'female div/dep/mar',31,2,0
571,-1,'existing paid',furniture/equipment,3234,1,1,'female div/dep/mar',23,1,0
572,0,'critical/other existing credit',radio/tv,5954,1,3,'male single',38,2,1
573,0,'existing paid','used car',5433,0,0,'female div/dep/mar',26,3,1
574,-1,'existing paid',business,806,1,2,'female div/dep/mar',22,1,1
575,1,'existing paid',radio/tv,1082,1,4,'male single',27,1,1
576,0,'critical/other existing credit',furniture/equipment,2788,1,3,'female div/dep/mar',24,2,1
577,1,'existing paid',radio/tv,2930,1,3,'female div/dep/mar',27,2,1
578,0,'critical/other existing credit',education,1927,0,2,'female div/dep/mar',33,2,1
579,1,'critical/other existing credit','new car',2820,1,1,'male div/sep',27,2,0
580,0,'existing paid',retraining,937,1,1,'male mar/wid',27,1,1
581,1,'critical/other existing credit','new car',1056,1,4,'male single',30,2,0
582,1,'critical/other existing credit','new car',3124,1,1,'male single',49,1,1
583,0,'existing paid',furniture/equipment,1388,1,2,'female div/dep/mar',26,2,1
584,1,'existing paid',repairs,2384,1,1,'male single',33,1,0
585,0,'existing paid','new car',2133,0,4,'female div/dep/mar',52,3,1
586,-1,'existing paid',furniture/equipment,2039,1,2,'female div/dep/mar',20,2,0
587,-1,'critical/other existing credit','new car',2799,1,2,'male single',36,2,1
588,-1,'existing paid',furniture/equipment,1289,1,2,'male single',21,1,1
589,-1,'existing paid','domestic appliance',1217,1,2,'male mar/wid',47,1,0
590,-1,'critical/other existing credit',furniture/equipment,2246,1,4,'male single',60,2,0
591,-1,'critical/other existing credit',radio/tv,385,1,3,'female div/dep/mar',58,1,1
592,1,'delayed previously','new car',1965,0,2,'female div/dep/mar',42,2,1
593,0,'existing paid',business,1572,4,4,'female div/dep/mar',36,1,1
594,1,'existing paid','new car',2718,1,2,'female div/dep/mar',20,1,0
596,1,'all paid','new car',931,2,1,'female div/dep/mar',32,1,0
597,-1,'existing paid','new car',1442,1,3,'female div/dep/mar',23,2,0
598,1,'no credits/all paid',business,4241,1,2,'male single',36,1,0
599,0,'critical/other existing credit','new car',2775,1,3,'male single',31,2,0
600,0,'delayed previously',business,3863,1,2,'male single',32,2,1
601,1,'existing paid',radio/tv,2329,1,1,'female div/dep/mar',45,2,1
602,1,'existing paid',furniture/equipment,918,1,2,'female div/dep/mar',30,2,0
603,1,'all paid',education,1837,1,3,'female div/dep/mar',34,1,0
604,0,'existing paid',furniture/equipment,3349,1,2,'female div/dep/mar',28,3,0
605,2,'existing paid',furniture/equipment,1275,1,1,'female div/dep/mar',23,2,1
606,-1,'all paid',furniture/equipment,2828,3,2,'male single',22,2,1
607,0,'critical/other existing credit',business,4526,1,2,'male single',74,3,1
608,1,'existing paid',radio/tv,2671,2,2,'female div/dep/mar',50,2,0
609,0,'existing paid',radio/tv,2051,1,1,'male single',33,2,1
610,0,'existing paid','used car',1300,0,4,'male single',45,2,1
611,-1,'existing paid','domestic appliance',741,2,0,'female div/dep/mar',22,2,0
612,2,'existing paid','new car',1240,2,4,'female div/dep/mar',48,1,0
613,-1,'existing paid',radio/tv,3357,4,1,'female div/dep/mar',29,2,1
614,-1,'all paid','used car',3632,1,2,'female div/dep/mar',22,2,1
615,0,'delayed previously',furniture/equipment,1808,1,3,'female div/dep/mar',22,2,0
616,1,'no credits/all paid',business,12204,0,2,'male single',48,3,1
617,1,'delayed previously',radio/tv,9157,0,2,'male single',27,3,1
618,-1,'critical/other existing credit','new car',3676,1,2,'male single',37,2,1
619,1,'existing paid',furniture/equipment,3441,2,2,'female div/dep/mar',21,2,0
620,0,'existing paid','new car',640,1,2,'male div/sep',49,1,1
621,1,'critical/other existing credit',business,3652,1,3,'male single',27,2,1
622,0,'critical/other existing credit','new car',1530,1,2,'male single',32,2,0
623,0,'existing paid',business,3914,0,2,'male div/sep',38,2,0
624,-1,'existing paid',furniture/equipment,1858,1,1,'female div/dep/mar',22,2,1
625,-1,'existing paid',radio/tv,2600,1,2,'male single',65,2,0
626,0,'existing paid',radio/tv,1979,0,4,'male single',35,2,1
627,2,'existing paid',furniture/equipment,2116,1,2,'male single',41,2,1
628,1,'all paid','new car',1437,2,3,'male single',29,2,0
629,0,'critical/other existing credit',furniture/equipment,4042,3,2,'male single',36,2,1
630,0,'existing paid',education,3832,0,4,'male single',64,1,1
631,-1,'existing paid',radio/tv,3660,1,2,'female div/dep/mar',28,2,1
632,-1,'all paid',furniture/equipment,1553,1,2,'male single',44,2,0
633,1,'existing paid',radio/tv,1444,0,1,'male single',23,2,1
634,0,'existing paid',furniture/equipment,1980,1,1,'female div/dep/mar',19,2,0
635,1,'existing paid','new car',1355,1,1,'female div/dep/mar',25,1,0
636,0,'existing paid',education,1393,1,4,'male single',47,2,1
637,0,'existing paid',radio/tv,1376,3,3,'female div/dep/mar',28,2,1
638,0,'delayed previously',radio/tv,15653,1,3,'male single',21,2,1
639,0,'existing paid',radio/tv,1493,1,1,'female div/dep/mar',34,2,1
640,-1,'delayed previously',radio/tv,4370,1,3,'male single',26,2,0
641,-1,'existing paid',education,750,1,0,'female div/dep/mar',27,0,0
642,1,'existing paid',repairs,1308,1,4,'male single',38,1,1
643,0,'existing paid',education,4623,2,2,'male single',40,3,0
644,0,'critical/other existing credit',radio/tv,1851,1,3,'male mar/wid',33,2,1
645,-1,'critical/other existing credit',radio/tv,1880,1,3,'male mar/wid',32,3,1
646,0,'delayed previously',business,7980,0,1,'male single',27,2,0
647,-1,'no credits/all paid',furniture/equipment,4583,1,2,'male div/sep',32,2,1
649,2,'existing paid','new car',947,1,3,'male single',38,2,0
650,-1,'existing paid',education,684,1,2,'male single',40,1,0
651,-1,'existing paid',education,7476,1,3,'male single',50,3,1
652,1,'existing paid',furniture/equipment,1922,1,2,'male single',37,1,0
653,-1,'existing paid','new car',2303,1,4,'male single',45,2,0
654,1,'delayed previously','new car',8086,2,4,'male single',42,3,0
655,0,'critical/other existing credit','used car',2346,1,3,'male single',35,2,1
656,-1,'existing paid','new car',3973,1,0,'male single',22,2,1
657,1,'existing paid','new car',888,1,4,'male single',41,1,0
658,0,'existing paid',radio/tv,10222,0,3,'male single',37,2,1
659,1,'no credits/all paid',business,4221,1,2,'female div/dep/mar',28,2,1
661,2,'existing paid',radio/tv,1297,1,2,'male mar/wid',23,2,1
662,-1,'existing paid','new car',900,0,2,'male mar/wid',23,2,0
663,0,'existing paid',furniture/equipment,2241,1,4,'male single',50,2,1
664,1,'delayed previously',furniture/equipment,1050,1,0,'male single',35,3,1
665,2,'critical/other existing credit',education,1047,1,2,'female div/dep/mar',50,1,1
666,0,'critical/other existing credit',other,6314,1,0,'male single',27,3,1
667,1,'all paid',furniture/equipment,3496,4,2,'male single',34,2,1
668,0,'all paid',business,3609,1,2,'female div/dep/mar',27,2,1
669,-1,'critical/other existing credit','new car',4843,1,4,'male single',43,2,0
670,2,'critical/other existing credit',radio/tv,3017,1,4,'male single',47,2,1
671,0,'critical/other existing credit',business,4139,2,2,'male single',27,1,1
672,0,'existing paid',business,5742,2,3,'male single',31,2,1
673,0,'existing paid','new car',10366,1,4,'male single',42,3,1
674,0,'critical/other existing credit','new car',2080,3,2,'male mar/wid',24,2,1
675,0,'delayed previously',business,2580,3,1,'male single',41,1,0
676,0,'critical/other existing credit',radio/tv,4530,1,3,'female div/dep/mar',26,3,1
677,0,'critical/other existing credit',furniture/equipment,5150,1,4,'male single',33,2,1
678,1,'existing paid',radio/tv,5595,2,2,'male mar/wid',24,2,0
679,-1,'existing paid',radio/tv,2384,1,4,'male single',64,1,1
680,0,'existing paid',radio/tv,1453,1,1,'female div/dep/mar',26,2,1
681,0,'existing paid',education,1538,1,1,'female div/dep/mar',56,2,1
682,0,'existing paid',radio/tv,2279,0,2,'male single',37,2,1
683,0,'delayed previously',radio/tv,1478,1,2,'male mar/wid',33,2,1
684,0,'critical/other existing credit',radio/tv,5103,1,1,'male mar/wid',47,2,1
685,1,'delayed previously',business,9857,2,3,'male single',31,1,1
686,0,'existing paid','new car',6527,0,2,'male single',34,2,1
687,2,'critical/other existing credit',radio/tv,1347,0,3,'male single',27,2,1
688,1,'delayed previously','new car',2862,2,4,'male single',30,2,1
689,0,'existing paid',radio/tv,2753,2,4,'male single',35,2,1
690,-1,'existing paid','new car',3651,4,2,'male single',31,2,1
691,-1,'critical/other existing credit',furniture/equipment,975,1,2,'male div/sep',25,2,1
692,1,'existing paid',repairs,2631,2,2,'female div/dep/mar',25,1,1
693,1,'existing paid',radio/tv,2896,2,1,'male single',29,2,1
694,-1,'critical/other existing credit','new car',4716,0,1,'male single',44,1,1
695,0,'existing paid',radio/tv,2284,1,3,'male single',28,2,1
696,0,'existing paid','used car',1236,3,2,'male single',50,2,1
697,1,'existing paid',radio/tv,1103,1,3,'male single',29,2,1
698,0,'critical/other existing credit','new car',926,1,0,'female div/dep/mar',38,0,1
699,0,'critical/other existing credit',radio/tv,1800,1,2,'male single',24,2,1
700,2,'existing paid',education,1905,1,4,'male single',40,3,1
701,0,'existing paid',furniture/equipment,1123,3,2,'female div/dep/mar',29,1,0
702,-1,'critical/other existing credit','used car',6331,1,4,'male single',46,2,0
703,2,'existing paid',radio/tv,1377,2,4,'female div/dep/mar',47,2,1
704,1,'delayed previously',business,2503,2,4,'male single',41,2,1
705,1,'existing paid',business,2528,1,1,'female div/dep/mar',32,2,1
706,0,'existing paid','new car',5324,3,4,'female div/dep/mar',35,2,1
707,1,'existing paid','new car',6560,2,3,'male single',24,2,0
708,1,'no credits/all paid',furniture/equipment,2969,1,1,'female div/dep/mar',25,2,0
709,1,'existing paid',radio/tv,1206,1,4,'female div/dep/mar',25,2,1
710,1,'existing paid',radio/tv,2118,1,2,'male single',37,1,1
711,0,'critical/other existing credit',radio/tv,629,3,4,'male single',32,3,1
712,-1,'all paid',education,1198,1,4,'female div/dep/mar',35,2,0
713,0,'existing paid','used car',2476,0,4,'male single',46,3,1
714,-1,'critical/other existing credit',radio/tv,1138,1,2,'male single',25,1,1
715,1,'existing paid','new car',14027,1,3,'male single',27,3,0
716,0,'critical/other existing credit','used car',7596,0,4,'male single',63,2,1
717,0,'critical/other existing credit',radio/tv,3077,0,4,'male single',40,2,1
718,0,'existing paid',radio/tv,1505,1,2,'male single',32,3,1
719,2,'critical/other existing credit',radio/tv,3148,0,2,'male single',31,2,1
720,1,'no credits/all paid','used car',6148,2,4,'male mar/wid',31,2,1
721,2,'no credits/all paid',radio/tv,1337,1,1,'male single',34,3,0
722,1,'all paid',education,433,4,1,'female div/dep/mar',24,2,0
723,-1,'existing paid','new car',1228,1,2,'female div/dep/mar',24,1,0
724,1,'existing paid',radio/tv,790,3,2,'female div/dep/mar',66,1,1
725,0,'existing paid','new car',2570,1,2,'female div/dep/mar',21,2,0
726,0,'critical/other existing credit','new car',250,4,2,'female div/dep/mar',41,1,1
727,0,'critical/other existing credit',radio/tv,1316,3,2,'male mar/wid',47,1,1
728,-1,'existing paid',radio/tv,1882,1,2,'female div/dep/mar',25,2,0
729,1,'all paid',business,6416,1,4,'female div/dep/mar',59,2,0
730,2,'critical/other existing credit',business,1275,4,2,'male div/sep',36,2,1
731,1,'delayed previously',radio/tv,6403,1,1,'male single',33,2,1
732,-1,'existing paid',radio/tv,1987,1,2,'male single',21,1,0
733,1,'existing paid',radio/tv,760,1,3,'female div/dep/mar',44,1,1
734,0,'existing paid','used car',2603,4,2,'female div/dep/mar',28,2,1
735,0,'critical/other existing credit','new car',3380,1,3,'female div/dep/mar',37,2,1
736,1,'all paid','domestic appliance',3990,0,1,'female div/dep/mar',29,0,1
737,1,'existing paid','used car',11560,1,2,'female div/dep/mar',23,3,0
738,-1,'existing paid','new car',4380,2,2,'male single',35,1,1
739,0,'critical/other existing credit','new car',6761,1,3,'male single',45,3,1
740,1,'no credits/all paid',business,4280,2,2,'female div/dep/mar',26,1,0
741,-1,'all paid','new car',2325,2,3,'male single',32,2,1
742,1,'all paid',radio/tv,1048,1,2,'male single',23,1,1
743,0,'existing paid',radio/tv,3160,0,4,'male single',41,2,1
744,-1,'all paid',furniture/equipment,2483,3,2,'male single',22,2,1
745,-1,'critical/other existing credit',furniture/equipment,14179,0,3,'male single',30,3,1
746,-1,'critical/other existing credit',business,1797,1,1,'male single',28,1,1
747,-1,'existing paid','new car',2511,1,0,'female div/dep/mar',23,2,1
748,-1,'existing paid','new car',1274,1,1,'female div/dep/mar',37,1,0
749,0,'existing paid','used car',5248,0,2,'male single',26,2,1
750,0,'existing paid','used car',3029,1,3,'male single',33,2,1
751,-1,'existing paid',furniture/equipment,428,1,4,'female div/dep/mar',49,2,1
752,-1,'existing paid','new car',976,1,1,'female div/dep/mar',23,1,0
753,1,'existing paid',business,841,2,3,'female div/dep/mar',23,1,1
754,0,'critical/other existing credit',radio/tv,5771,1,3,'female div/dep/mar',25,2,1
755,0,'delayed previously',repairs,1555,4,4,'male single',55,2,0
756,-1,'existing paid','new car',1285,0,3,'female div/dep/mar',32,2,0
757,2,'critical/other existing credit','new car',1299,1,2,'male single',74,0,1
758,2,'critical/other existing credit',radio/tv,1271,0,2,'male single',39,2,0
759,0,'existing paid','new car',1393,1,2,'male single',31,2,1
760,-1,'critical/other existing credit','new car',691,1,4,'male single',35,2,0
761,0,'critical/other existing credit','new car',5045,0,4,'female div/dep/mar',59,2,1
762,-1,'critical/other existing credit',furniture/equipment,2124,1,2,'female div/dep/mar',24,2,0
763,-1,'existing paid',radio/tv,2214,1,2,'male single',24,1,1
764,0,'critical/other existing credit','new car',12680,0,4,'male single',30,3,0
765,0,'critical/other existing credit','new car',2463,2,3,'male mar/wid',27,2,1
766,1,'existing paid',radio/tv,1155,1,4,'male mar/wid',40,1,1
767,-1,'existing paid',furniture/equipment,3108,1,1,'male div/sep',31,1,0
768,0,'existing paid','used car',2901,0,1,'female div/dep/mar',31,2,1
769,1,'critical/other existing credit',furniture/equipment,3617,1,4,'male single',28,2,1
770,0,'critical/other existing credit',radio/tv,1655,1,4,'male single',63,1,1
771,-1,'existing paid','used car',2812,0,4,'female div/dep/mar',26,2,1
772,-1,'critical/other existing credit',education,8065,1,2,'female div/dep/mar',25,3,0
773,0,'critical/other existing credit','used car',3275,1,4,'male single',36,3,1
774,0,'critical/other existing credit',radio/tv,2223,2,4,'male single',52,2,1
775,2,'critical/other existing credit','new car',1480,3,0,'male single',66,0,1
776,-1,'existing paid','new car',1371,0,2,'female div/dep/mar',25,2,0
